Title,Descriptions,Category
Knorr Rice and Pasta Sides commercial.txt,nothing to cook for dinner whatever you. have at home nor rice and pesticides can. turn nutritious veggies into. mouth-watering meals. make veggies taste amazing with noir go. to nord.com that's knorr.com for recipe. ideas to make that delicious dish,Food
McDonald_s Black and Positively Golden Mentors on Instagram commercial.txt,and the young leaders of tomorrow check. out black and positively golden mentors. on instagram. at we are golden look out world we got. it from here. nowadays it's more important than ever. to know the value of a dollar. or three or four or five or even six new. dunkin go-to's now with brews. tasty breakfast combos that give you. more bang for your bucks get a wake-up. wrap with sausage and a medium hot. coffee. for three dollars a bagel with cream. cheese spread and a medium hot coffee. for four dollars a bacon egg and cheese. croissant with a medium hot coffee for. five dollars or a power breakfast. sandwich and you guessed it a medium hot. coffee for six dollars. dunkin go-to's now with bruce america. runs on duncan participation may vary. exclusions apply limited time offer,Food
McDonald_s The I_m Crazy Hungry So She_s Gotta Be Too commercial.txt,the i'm crazy hungry so she's got to be. too slide through the mickey d's. drive-through to get a big mac right. after i order her quarter pounder with. cheese. cause i don't know everything but i do. know what my girl's feeling hangry meal. get it at mcdonald's when you buy one of. your faves like the big mac. quarter pounded with cheese 10-piece. chicken mcnuggets or filet-o-fish. and get another for just a dollar. prices and participation may vary valid. on an item of equal or lesser value,Food
Nyack College commercial.txt,snacks. have faith in your future know that. you're destined for. more than a paycheck you were born to. live your purpose. join a community of believers seeking. higher education at nyack college. applier transfer to a degree in business. nursing. social work ministry music and more. ninety-five percent of students receive. financial aid. so apply now at niacc.edu. nyack college have faith in your future,Food
Dunkin_ Dunkin_ Refreshers commercial.txt,new dunkin refreshers fiber fruit. flavors like strawberry dragon fruit and. peach passion fruit b vitamins and. energy from green tea. all under 200 calories order ahead via. the dunkin effort contactless way to. order pay and pick up in the drive-thru. america runs on duncan price and. participation may very limited time. offer,Food
Wendy_s 4 For 4 commercial.txt,wendy's famous four for four is heating. up with a new spicy crispy chicken. sandwich. the queen of spice is delivering that. spicy chicken you love with lettuce and. mayo between two deliciously soft buns. and yes in classic four for four fashion. you can get all that spicy goodness with. spicy or crispy nuggets. fries and a drink to cool off all for. just four bucks. is it getting hot in here or did wendy's. just deliver the hottest deal in fast. food. we got you offer includes four piece. nuggets junior frying value during price. participation may vary,Food
Little Caesar_s Thin Crust Pizza commercial.txt,little caesar's thin crust pizza is so. loaded with cheese and pepperoni you. can't even see the crust. and if you ever want to see it again. listen very carefully. bring 641 in unmarked bills or marked. bills or coins or just a credit or debit. card to little caesars come alone. and bring your friends or family bring. everyone get a little caesar's large. thin crust pizza with extra cheese and. the most pepperoni all at the nation's. best price of just 6.41 pizza pizza top. four national pizza chains extra most. bestest thin crust pepperoni pizza. versus large around one topping thin. crust pepperoni pizza everyday standard. menu prices advertising locations plus,Food
Z100 Get Your Bills Paid Contest commercial.txt,this. ring brunch is back i'll have the. avocado toast. with pine nuts and there's gonna be. bills to. pay why are you talking like that uh. because we're inside of the z100 promo. no you aren't well then what's this. microphone i'm talking into for. that's a bellini that would explain the. bubbles. [Music]. z100.com and now you're getting your. bills. keep listening for the next keyword to. enter online and win a grab i. love 100 brought to you by grubhub. download the grubhub app to discover. delivery deals free food and rewards. from local restaurants and national. favorites. that's right all the deals you've ever. wanted are just a tap away with perks. from grubhub,Food
Coca-Cola Sip Size Bottles Made Out Of Recycled Materials commercial.txt,bring as much joy as the delicious. taste of coca-cola like your first time. camping or falling in love on a flying. date. and now our new coke bottles are sip. sized and made from 100. recycled materials so every bottle can. live on to create more memories. that's endlessly refreshing coca-cola. bottles are made from 100 recycled. materials excluding cap and label. enjoy the great taste of coca-cola in a. new sip sized bottle that's made of 100. recycled materials,Food
Taco Bell $5 Grande Nachos commercial.txt,with double the season beef and a large. drink all for five dollars taco bell's. grande nachos truly deserves a grande. intro. perhaps with a grande beat box. says crunchy cheesy beat actually that. sounded better in my head. go get the five dollar grande nachos. before they make every even exit um. nope only a taco bell at limited. participating locations for a limited. time only price and participation may. vary tax extra drinks excludes freezes. double the season beef as compared to. the natural spell branding,Food
taco_bell,if you haven't tried Taco Bell's breakfast Crunchwrap filled with crispy bacon scrambled eggs and entire hashbrown then consider this your wake-up call wake up to the Breakfast Crunchwrap at Taco Bell Order ahead and have it waiting,Food
sonic_drive_ins___amazing_low_carb,I know if you know this dude but then they took some the carbs out of this month so you never know.,Food
checkers__little_place_big_taste_,don't the double melt are here now with American or new pepperjack check is posted double melt to juici patties grilled onion your choice of cheese the ultimate melt only,Food
dairy_queen_commercial_waterskiing,Dairy Queen. But good enough to stop at treats we also make amazing food give you a bacon cheeseburger for lunch we give you a shake 24 just 399 we don't just have a fluffy Cloud water ski,Food
wendy_s,hi we have a brand-new breakfast and we're breaking new ground we are opening new world,Food
panda_express_golden_treasure_shrimp__commercial____enchanted_island_,is pirating is making me hungry I hear you if you'll be my mother,Food
wendy_s___2009___new_chicken_temptations_flavors_commercial,the chicken is tender juicy and lightly breaded the sauce is a mouth-watering blend of sweet and spicy every bite delivers a kick of Asian Chiles real red pepper flakes and a hint of garlic,Food
_mouth_watering_montage____texas_dairy_queen,ever notice when a hankering for something hot fresh and delicious they end up at DQ it's because only d q has the best-tasting burgers,Food
carl_s_jr____little_wings,wings so many bones so little meat to fill up they got to eat at least 50 of them good thing chickens have big breasts the buffalo chicken sandwich new at Carl's jr.,Food
pizza_hut,only Pizza Hut new menu gives you your cheese pizza covered in cheese 99 get it now at pizzahut.com,Food
dairy_queen,this one's for the carnivores above the new Dairy Queen just 199 for a limited time,Food
dj_kmo_wienerschnitzel_commercial,"get down weiner dude do the Wienerschnitzel chili, and get a chili dog and chili cheese fries for 9",Food
domino_s_pizza_commercial_with_the_noid,annoyed he loves to make you a hot pizza ice cold,Food
i_want_99_tacos_for_2_cents_,yeah kayak 99 tacos for $0.02 it's two tacos for 99 cents,Food
arby_s___2009____5_01_combo_commercial,Arby's $5.01 roast beef patty melt combo,Food
carl_s_jr_,if you've never read me breakfast at Carl's Junior wake up to this steak and eggs hot cakes and bacon mouth-watering armlets are Sunrise sandwich all serve right to your table so if you thought Carl Junior served on a great-tasting hamburgers,Food
papa_johns_commercial,garlic parmesan breadsticks are free,Food
stu_ihop_commercial,"The Star Bar Mandy was back in the spotlight, don't forget the holiday list gift card",Food
plastic_surgeon__dr__90210____carl_s_jr_,doctor Ray's office please hold thanks for coming I was reading your file here and it says that you're interested in breast augmentation let me have you this road right here wow,Food
jack_in_the_box_commercial__1995_,Philadelphia birthplace of the Constitution and a cheese stick,Food
jack_in_the_box_slammer__commercial__1997_,I wouldn't do that if I were you I'll pick you out of a lineup and send you to the slammer know what jail is like,Food
little_caesars____5_hot_n_ready_,Little Caesars always gives you a great-tasting pizza for Less the pizza that's fractured of the oven whenever you walk in is just five bucks for a large pepperoni pizza,Food
jack_in_the_box,what's Triple the beef triple the cheese and triple the bacon I call this burger the perfect Triple Threat but you can call it the triple bacon cheesy Jack my 699 triple making cheesy jack-in-the-box,Food
sonic_drive_in,I am loving this mocha chip Java Chiller in2 and you know it's kind of a relief to me it's like every time I would be as how do you want your coffee I was like all you don't just standard with a little bit of sauce serve in it and you know some Hershey's special dark chocolate pieces chocolate drizzle on top,Food
quiznos,how do you know it's a Quiznos Sub quality ingredients like cilantro jalapeno slaw,Food
pizza_boli_s,Pizza Boli's Pizza in Folsom,Food
mcdonald_s_ad__first_glasses___1986_,looking at things from a new point of view and it's feeling strange to you but McDonald's,Food
subway___2002___new_honey_oat_bread_commercial,Subway has a new bread made with Daphne guys honey and his oats,Food
mcdonald_s_commercal_1988_our_new_song,what a great day for singing our new song Good Time good time great taste,Food
sonic_commercial,poster guard lose anything,Food
burger_king___2009___holiday_gift_card_commercial,this year got those second third and fourth grade friends are first-rate gift card from b.k. Dollar holidays.com the dollar inside double cheeseburger the card let them know you almost care bk.com,Food
2003_jack_in_the_box_commercial,eating soup with Jack room-service leftovers timing is everything more meat than you think hello man when that doesn't work,Food
adam_bobrow_s_jack_in_the_box_commercial,why would I want a donut Donuts are a scam when you get to the Middle with a donut fillet should be you get a whole I don't want a whole for breakfast I want something warm and delicious breakfast,Food
mcdonalds__break_it_to_me_gently__ad__1984_,ease into morning with McDonald's,Food
papa_johns_commercial__go_big_papa__,we got pizza from Papa John's,Food
mcdonald_s___breakfast_sandwich_commercial_2___2009,I was seriously craving this morning with some crazy Hunger Pains,Food
burger_king,at Burger King $5 is all you need to get a plain grilled bacon cheeseburger or any of these other items for justice but the $1 at your way big your way way better,Food
my_dairy_queen_commercial,enjoy your monster cookie blizzard,Food
carls_jr_commercial_mov,Jim didn't get his 32 valve twin turbo sports car so we could eat washes for lunch,Food
dairy_queen_father_s_day_commercial__1995_,what makes a Dairy Queen Frozen Father's Day cake so special because it begins with something dad's love delicious Dairy Queen chocolate and vanilla soft-serve then there's a layer of chocolate fudge and chocolate Crunch put the icing on the cake as you can get it decorated or your way Dairy Queen Fathers Day cakes very special cakes or very special dad's we treat you right Dairy Queen,Food
jack_in_the_box_commercial__need_more,I want you to take this the wrong way I just I just I need more from you,Food
wendy_s_breakfast_commercial_2011_artisan_egg_sandwich,hi words that go well with our new breakfast sandwich has grilled sausage eggs and asiago cheese,Food
denny_s,pancakes and eggs bacon and sausage coffee and OJ and a killer price that's a win win win win win win,Food
sonic_drive_in_our_way,we're looking forward to having it our way around there not like Square pieces of toast,Food
sonic_drive_in_super_sonic_snacking_commercial,you could be jalapeno strip some out there like are crispy jalapenos dress now for a limited time it's not just good it's Sonic good,Food
mcdonalds_ad__1994_,there just isn't enough time in the day time to fight the traffic to get to a job I can possibly get done from 9 to 5 time to run to the bank stop the post office rush home cook and clean well tonight McDonald's is making my family dinner,Food
jack_in_the_box_commercial__heroes,why do I serve breakfast all day for firefighters working round-the-clock the ER doctors and nurses the hard-working guys in the graveyard shift the 24-hour emergency ikigai and of course I do it for the college students will never made it to a 9 a.m. class in their lives you are the reason I serve a warm delicious breakfast whenever you want,Food
1980_kentucky_fried_chicken_colonel_sanders_commercial,there really is a Kentucky Fried Chicken School,Food
wendy_s__hard_to_top_15,dick strips of Chris dick applewood-smoked bacon of new on Wendy's Baconator fall hard for 1 today,Food
